"Construct","Variable","Visit","Description"
"Child ethnicity","child_ethnicity","V02","Standard ACS ethnicity item"
"Child race","child_race","V02","Standard ACS race item"
"Child race indicators (0-5)","acs_child_race_multi___{0 - 5}","V01","Child race collected at V01 pregnancy check-in"
"Child race/ethnicity, multiracial aggregation by ethnicity","child_ethnoracial_acs_by_multi_ethnicity","V02","Child combined race and ethnicity constructed from ACS items, with multiracial aggregation by Hispanic distinction"
"Birth mother race","screen_mother_race","V01","Standard ACS race item"
"Birth mother ethnicity","screen_mother_ethnicity","V01","Standard ACS ethnicity item"
"Mother race/ethnicity, multiracial aggregation by ethnicity","screen_mother_ethnoracial_acs_by_multi_ethnicity","V01","Maternal combined race and ethnicity constructed from ACS items, with multiracial aggregation by Hispanic distinction"
"Mother race/ethnicity, multiracial aggregation by race","screen_mother_ethnoracial_acs_by_multi_race","V01","Maternal combined race and ethnicity constructed from ACS items, with multiracial aggregation by Black/non-Black distinction"
